category;income;savings;debt;benefits;investments;kids;fiscal_partner;consumption_reduced;consumption_standard
3.0;39861.87;67458.19;12465.25;0.0;72971.01;1.0;0.0;11783.42;12755.8
2.0;25316.98;20411.92;17481.16;17412.57;20175.59;5.0;1.0;12595.09;12658.49
2.0;20883.04;27315.41;11913.8;18318.59;37852.47;3.0;0.0;11056.08;4913.4800000000005
2.0;25930.99;21687.4;23752.38;14736.72;28358.91;4.0;0.0;13297.92;6316.535000000001
2.0;19607.71;24619.54;1813.6;18431.66;30218.02;4.0;1.0;10294.08;9215.62
2.0;20491.1;13953.01;10023.21;14573.51;42676.18;0.0;1.0;8073.67;7171.88
2.0;25801.78;34076.0;24749.39;25766.81;24898.29;4.0;0.0;13256.57;6272.605
2.0;26996.48;30954.37;38196.14;22159.23;33676.46;5.0;1.0;13098.94;13498.24
3.0;41013.78;56318.9;13910.11;0.0;76429.78;2.0;1.0;11511.52;12714.27
2.0;27716.44;30282.38;21486.86;8808.46;29453.6;3.0;1.0;11651.95;12195.23
2.0;29854.86;15128.42;28996.3;20777.31;31395.27;5.0;1.0;13956.46;14927.43
2.0;25745.73;33906.89;25361.02;6433.54;15672.16;4.0;0.0;13238.63;6253.55
2.0;26231.55;43433.08;17279.94;6989.97;30444.07;2.0;1.0;10508.63;10754.94
2.0;26264.27;26855.56;37132.76;14922.16;13259.4;3.0;1.0;11303.42;11556.28
4.0;608709.95;607376.59;0.0;0.0;287735.24;1.0;0.0;43479.05;97393.59
3.0;38898.74;63342.97;13885.34;0.0;48980.5;4.0;0.0;14001.77;14781.52
3.0;39270.87;49045.56;5891.96;0.0;95901.9;2.0;1.0;11319.8;12173.97
2.0;19569.87;18838.39;20468.95;11925.66;27093.37;3.0;1.0;9696.77;8610.74
2.0;29072.1;34013.12;23459.07;11492.59;30902.1;1.0;0.0;11686.58;12501.0
2.0;22685.07;17467.47;28236.07;14640.69;22047.47;1.0;1.0;9083.31;8620.33
3.0;37831.76;20736.16;10362.87;0.0;103295.21;5.0;1.0;13431.4;13997.75
2.0;25326.73;23583.49;36395.35;11437.29;27466.23;5.0;1.0;12598.02;12663.36
2.0;28795.8;24222.9;31908.94;14165.67;17222.53;0.0;1.0;9319.37;10078.53
2.0;27140.44;32028.93;25608.87;9881.45;21510.96;4.0;0.0;13684.94;6727.749999999999
1.0;6781.67;6621.19;20498.38;33034.82;4034.88;3.0;1.0;3390.84;2983.93
2.0;23548.28;30935.49;13480.06;15779.32;11289.75;0.0;1.0;8532.24;8241.9
4.0;393526.67;530343.25;0.0;0.0;223532.41;4.0;1.0;25741.07;66899.53
2.0;25824.07;31240.3;21337.19;15547.9;20181.47;5.0;1.0;12747.22;12912.04
2.0;30037.81;24727.8;43888.38;13357.5;33060.56;0.0;1.0;9505.67;10513.23
3.0;37890.48;52678.57;12689.03;0.0;78644.65;0.0;1.0;9652.33;10230.43
2.0;22265.5;36027.88;23904.7;19300.4;15255.55;0.0;0.0;9453.1;8906.2
2.0;24542.75;21934.47;13508.83;23449.17;18257.42;2.0;1.0;10153.98;10062.53
1.0;1895.33;5714.73;15474.56;34656.76;19999.09;3.0;0.0;947.66;928.71
1.0;3841.9;2898.51;10889.17;21412.74;18023.26;5.0;0.0;1920.95;960.475
3.0;38567.33;45131.89;8625.8;0.0;93206.53;5.0;0.0;14713.47;15426.93
1.0;13156.03;3513.8;19727.44;28835.72;17922.95;4.0;0.0;11051.77;1052.13
2.0;22994.28;28108.59;33174.76;23979.51;16428.73;2.0;1.0;9828.8;9427.65
2.0;25050.09;16520.32;28725.27;16688.4;32738.13;0.0;0.0;10010.02;10020.04
2.0;28158.04;27196.23;31019.2;16988.87;19972.2;4.0;0.0;14010.57;7073.735000000001
2.0;25046.4;28413.35;28708.66;8907.71;31606.8;5.0;1.0;12513.92;12523.2
2.0;26040.91;24728.7;16805.69;11919.65;36004.15;5.0;1.0;12812.27;13020.46
2.0;30419.49;26453.06;20057.84;13399.26;30650.97;0.0;0.0;11083.9;12167.8
3.0;40277.71;62514.78;12450.71;0.0;78177.04;2.0;1.0;11430.55;12486.09
3.0;37778.66;78476.93;7478.06;0.0;99067.4;2.0;1.0;11155.65;11711.38
2.0;23126.62;32732.85;42809.87;19210.41;21382.62;3.0;1.0;10550.39;10175.71
3.0;39280.97;92050.95;7421.47;0.0;90932.92;2.0;0.0;12499.34;13355.53
1.0;9454.76;4969.94;22608.18;13334.08;11520.88;3.0;0.0;8971.0;241.8800000000001
3.0;40506.82;53593.25;7568.97;0.0;77185.12;2.0;0.0;12670.95;13772.32
3.0;42151.88;75769.05;6757.47;0.0;95046.97;1.0;0.0;12058.23;13488.6
2.0;28132.62;37958.86;41550.5;12210.71;9127.43;1.0;1.0;10063.87;10690.4
